#input
r(A),H1-H1,H1-H2,H1-O,H2-H1,H2-H2,H2-O,O-H1,O-H2,O-O
276.46250000000003,1.0000000000012037,1.0000000000023532,1.000000000000428,0.9999999999997214,0.9999999999995144,1.0000000000021005,1.0000000000009877,1.000000000001552,1.000000000000919
276.4875,0.9999999999947633,0.9999999999959002,1.0000000000006528,0.9999999999951716,1.0000000000069413,1.0000000000019766,1.0000000000010463,1.0000000000015943,1.000000000004089
276.5125,1.0000000000011275,1.000000000002391,1.0000000000006355,0.9999999999996372,0.9999999999993738,1.0000000000019904,1.0000000000011118,1.0000000000015268,1.0000000000009535
276.5375,0.9999999999963632,1.000000000005265,1.0000000000008056,1.0000000000026885,1.000000000003474,1.0000000000020075,1.000000000001115,1.000000000001712,0.9999999999997904
276.5625,1.0000000000011402,1.0000000000024087,1.0000000000008278,0.9999999999996043,0.9999999999993303,1.0000000000018485,1.0000000000010054,1.0000000000016862,1.000000000000972
276.58750000000003,0.9999999999948135,0.9999999999976219,1.0000000000009102,0.9999999999982072,0.9999999999975444,1.0000000000019598,1.0000000000011284,1.0000000000017581,1.0000000000001468
276.6125,1.0000000000011289,1.000000000002386,1.0000000000007707,0.9999999999994855,0.9999999999992697,1.0000000000017555,1.0000000000010467,1.0000000000014977,1.0000000000009783
276.6375,0.9999999999946042,1.0000000000051912,1.0000000000008225,1.0000000000040214,0.9999999999972886,1.0000000000016838,1.0000000000011369,1.0000000000013891,1.0000000000023412
276.6625,1.0000000000009512,1.0000000000023044,1.0000000000006712,0.9999999999993474,0.9999999999990486,1.0000000000012346,1.000000000000926,1.000000000001,1.000000000000982
276.6875,1.0000000000006863,1.0000000000051654,1.0000000000006821,0.9999999999980658,0.999999999997235,1.0000000000013833,1.0000000000009996,1.0000000000010876,1.00000000000269
276.71250000000003,1.0000000000008091,1.0000000000022982,1.0000000000003308,0.9999999999993254,0.9999999999988696,1.000000000001036,1.000000000000726,1.000000000000664,1.0000000000009743
276.7375,1.0000000000067089,0.9999999999974656,1.0000000000006446,1.0000000000022808,1.0000000000029508,1.0000000000011817,1.000000000000922,1.0000000000009288,0.9999999999983464
276.7625,1.0000000000008018,1.0000000000022684,1.0000000000005294,0.9999999999992575,0.9999999999988303,1.000000000000992,1.0000000000008047,1.000000000000743,1.0000000000009501
276.7875,0.9999999999939035,0.99999999999748,1.0000000000007037,1.0000000000022427,1.0000000000028098,1.0000000000010334,1.0000000000008988,1.0000000000008649,1.000000000000498
276.8125,1.0000000000007225,1.0000000000022449,1.0000000000004345,0.9999999999991778,0.999999999998729,1.000000000000886,1.000000000000714,1.0000000000006335,1.0000000000009088
276.83750000000003,0.9999999999989229,0.9999999999957823,1.0000000000005147,0.9999999999978229,1.0000000000027378,1.0000000000008975,1.000000000000667,1.0000000000007754,1.000000000000805
276.8625,1.000000000000698,1.0000000000021594,1.0000000000002314,0.9999999999991033,0.9999999999986995,1.0000000000006408,1.000000000000371,1.000000000000532,1.0000000000008669
276.8875,1.000000000001535,1.000000000004939,1.0000000000006284,1.000000000003539,1.0000000000027591,1.0000000000008709,1.0000000000007216,1.0000000000008096,1.0000000000029465
276.9125,1.000000000000631,1.0000000000020102,1.0000000000006062,0.9999999999989118,0.9999999999986402,1.0000000000008864,1.00000000000073,1.000000000000795,1.00000000000081
276.9375,0.9999999999988978,0.9999999999972635,1.0000000000008389,1.0000000000019267,0.9999999999986131,1.0000000000008582,1.0000000000009024,1.000000000000829,0.99999999999855
276.96250000000003,1.0000000000005254,1.0000000000019797,1.0000000000006883,0.9999999999988742,0.9999999999985544,1.0000000000007405,1.0000000000008331,1.0000000000006315,1.000000000000739
276.9875,1.0000000000062987,0.9999999999972987,1.0000000000008038,0.9999999999971114,0.9999999999985998,1.0000000000006026,1.0000000000008273,1.0000000000006155,0.999999999995411
277.0125,1.0000000000004836,1.0000000000019162,1.000000000000485,0.999999999998812,0.9999999999985472,1.0000000000002989,1.000000000000517,1.0000000000003046,1.0000000000006675
277.0375,1.000000000001532,1.0000000000047868,1.000000000000584,0.9999999999970288,0.9999999999986187,1.0000000000003144,1.000000000000575,1.000000000000361,1.0000000000014944
277.0625,1.0000000000005171,1.0000000000019946,1.0000000000002771,0.9999999999989244,0.9999999999986271,1.0000000000000826,1.000000000000301,1.0000000000000977,1.0000000000006017
